,Ponto de Bezier,A - Coordenada X,A - Coordenada Y,AoA,Reynolds,CL,CD
0,2,-0.1638,-0.06,1.51,3343711.73,0.087,0.01459
1,2,-0.0534,0.0877,-7.39,1298901.93,-0.6335,0.00908
2,4,-0.1991,-0.0501,-15.94,1082252.51,-1.1027,0.06647
3,2,0.0586,0.04,14.85,2475326.1,1.5283,0.02039
4,1,-0.0108,-0.0239,-18.16,4491967.69,-1.936,0.01896
5,3,-0.1463,-0.079,2.97,4902628.26,0.2403,0.00614
6,3,0.1364,-0.0811,8.96,2284700.31,0.9229,0.00999
7,4,-0.0386,-0.0666,-4.85,3112035.86,-0.8189,0.00541
8,2,0.1235,0.0419,5.28,1049538.65,0.6891,0.01077
9,4,-0.0787,-0.0071,-0.94,2800716.66,-0.1238,0.00705
10,2,0.0767,0.0478,11.01,3674935.87,1.3143,0.01376
11,4,0.0168,-0.0273,5.35,989678.83,0.4238,0.00954
12,3,0.0302,-0.0221,2.88,322180.97,0.3777,0.00962
13,2,-0.1196,0.0846,14.04,1649761.63,0.4433,0.23287
14,2,-0.0928,0.0308,-1.87,1594477.95,-0.1348,0.00711
15,1,-0.0293,-0.0249,-1.44,1128562.11,-0.3078,0.01341
16,4,0.1968,0.0111,0.9,3907420.12,0.0991,0.00772
17,3,0.1509,-0.0768,-11.05,226301.75,-0.6214,0.08703
18,3,0.1502,-0.0277,3.13,4547011.87,0.3342,0.00686
19,3,0.1829,-0.0629,-8.37,2028756.15,-1.0152,0.01112
20,4,-0.076,0.0575,3.05,3140099.16,0.5736,0.0061
21,2,0.098,0.0135,-5.64,4861401.92,-0.6131,0.00723
22,3,0.1213,-0.0016,-0.09,1527527.47,-0.0079,0.00727
23,3,0.1261,-0.0171,0.04,2464822.4,-0.0055,0.00694
24,3,0.1902,-0.0811,12.89,1033799.68,1.131,0.02365
25,4,0.1159,0.0648,-3.05,2086668.25,-0.0463,0.00618
26,4,0.1434,0.0526,-2.9,1473310.2,-0.0828,0.00642
27,4,-0.0772,-0.0771,1.04,251761.58,-0.1731,0.01075
28,1,0.1407,0.0639,1.43,470938.46,-0.3434,0.10352
29,2,0.0708,0.0358,1.01,2306462.08,0.1764,0.00656
30,4,-0.1329,0.0637,17.91,312624.95,0.9014,0.23263
31,4,0.0642,0.0054,-10.15,282632.13,-0.4806,0.10263
32,3,0.0428,-0.0072,-1.59,253371.76,-0.2732,0.00815
33,4,0.1441,-0.0194,0.25,3666284.72,-0.1042,0.00827
34,4,-0.0469,-0.0768,-1.88,585649.67,-0.5041,0.00817
35,1,0.1669,0.0148,-1.69,763337.04,-0.2209,0.0303
36,4,-0.0747,-0.0847,-1.05,4373339.38,-0.4842,0.007
37,4,-0.176,-0.0086,2.87,508131.58,0.3533,0.01005
38,3,-0.0626,-0.0369,15.95,4384674.32,1.4815,0.0167
39,4,-0.1311,0.0461,6.2,3052363.74,0.8764,0.00805
40,2,-0.1968,0.079,-12.72,4859662.82,-1.1523,0.01089
41,4,-0.1737,-0.0815,-0.74,3898387.34,-0.3981,0.00773
42,4,-0.1462,0.0867,5.79,3654203.79,0.9682,0.00757
43,2,-0.1299,-0.0268,0.68,1738988.98,0.0478,0.01004
44,4,0.0201,-0.0108,2.49,3970684.38,0.2169,0.0068
45,1,-0.0416,-0.027,0.2,886428.58,-0.1281,0.04773
46,2,0.0563,0.0666,5.92,1409134.17,0.444,0.06883
47,2,-0.0744,0.0527,-2.89,2942447.96,-0.1991,0.00719
48,2,0.0777,0.0329,10.08,774663.87,1.1431,0.01587
49,4,-0.1183,0.0443,-1.84,992967.92,0.0103,0.00758
50,3,-0.0148,-0.0206,-11.12,4764624.54,-0.9557,0.03361
51,4,0.1649,0.0529,3.85,4853362.85,0.6445,0.00771
52,3,-0.0284,-0.0275,-1.41,2793123.58,-0.1812,0.00646
53,2,-0.1073,0.0639,-10.02,2776021.99,-0.9437,0.0108
54,4,-0.1179,-0.0292,-1.1,494297.72,-0.2048,0.00722
55,4,-0.0661,0.0553,1.0,1952876.03,0.3453,0.00732
56,4,0.0069,0.0522,4.68,405200.53,0.7097,0.01419
57,3,0.0615,-0.0338,-13.16,2911890.35,-1.4021,0.01557
58,4,-0.031,-0.0161,-0.14,365097.58,-0.0763,0.00669
